question,choices,answer,subject,output
Beekamtiin mootummootaaf kennamu hojii idil-addunyaa yeroo ammaa keessatti babal’atee jiraa?,"['Beekamtiin mootummootaaf kennamu dalagaa yeroo ammaa keessatti dedduu babal’ateera', 'Beekamtiin mootummootaaf kennamu baay’inaan beekamtii dalagaadhaan bakka bu’eera', 'Qaamolee finciltootaa ilaalchisee beekamtiin mootummaa kennuunis waanuma jiruudha', 'Mootummoota dimokiraatawaa qofatu qabatamaan yeroo ammaa beekamtii argata']",B,international_law,D) Mootummoota dimokiraatawaa qofatu qabatamaan yeroo ammaa beekamtii argata
Labsiin Mirgoota Namoomaa Addunyaa (UDHR) maalummaa seeraa maali?,"['UDHR waliigaltee biyyoota hedduu ti', 'UDHR murtii Yaa’ii Waliigalaa UN ti', 'UDHR murtii Mana Maree Nageenyaa UN ti', 'UDHR labsii Biyyoonni hedduun konfiraansii idil-addunyaa irratti fudhatanidha']",B,international_law,C) UDHR murtii Mana Maree Nageenyaa UN ti
Dhiittaan mirga namoomaa naannoo Biyyoota miseensa ECHR taʼaniin alatti raawwatamu haala akkamii keessatti aangoo ECHR jalatti kufa?,"['ECHR Awurooppaan alatti bakka mirgi namoomaa biyyoota miseensa ECHR biyya alaa jiraniin sarbameetti hojiirra oola', 'ECHR haala Biyyi miseensa ta’e tokko to’annoo bu’a qabeessa ta’e itti raawwatu keessatti naannoo ala hojiirra oola', 'ECHR bakka Biyyi miseensa ta’e tokko ergama nagaa eegsisuu Dhaabbata Mootummoota Gamtoomaniif humna gumaachetti naannoo ala hojiirra oola', 'ECHRn bakka sarbamni mirga namoomaa kolonii duraanii Biyyoota miseensa ta’an keessatti raawwatamaa jirutti naannoo ala hojiirra oola']",B,international_law,D) ECHRn bakka sarbamni mirga namoomaa kolonii duraanii Biyyoota miseensa ta’an keessatti raawwatamaa jirutti naannoo ala hojiirra oola
Qajeelfamni 'pacta sunt servanda' jedhu maal jechuudha?,"['Namoonni waliigaltee tokko irratti hirmaatan jechoota isaa beekuu malee dogoggoraan hiikuu hin qaban', 'Qaamoleen waliigaltee tokkoo akeekaa fi kaayyoo waliigaltichaa eeguu qabu', 'Namoonni waliigaltee tokko irratti hirmaatan haalawwan isaa amanamummaa gaariin kabajuu qabu', 'Namoonni waliigaltee tokko irratti hirmaatan tumaalee waliigalticha keessatti barbaachisoo ta’an cabsuu hin qaban']",C,international_law,A) Namoonni waliigaltee tokko irratti hirmaatan jechoota isaa beekuu malee dogoggoraan hiikuu hin qaban
Dhimma Mana Maree Tin irratti seerri hojiirra ooluu dhabamuun bu’aan isaa maal ture?,"['Manni Maree Tin Idil-addunyaa teessoo isaa Landanitti waan tureef seera hojiirra oolchuu dhabuun bu’aa hin qabu ture', 'Waliigalteewwan hundee dhaabbilee idil-addunyaa doktiriinii hundeeffama jalatti kan bulani dha', 'Waliigaltee hundeeffama Mana Marichaa ilaalchisee seera hojiirra ooluu dhabuun isaa sirna seeraa Ingilizii keessatti namoonni dhuunfaa mirgaa fi dirqama irraa hin arganne jechuudha', 'Dhaabbata idil-addunyaa ilaalchisee Ingilizitti seera hojiirra ooluu dhabuun seera idil-addunyaa jalatti bu’aa hin qabu']",C,international_law,D) Dhaabbata idil-addunyaa ilaalchisee Ingilizitti seera hojiirra ooluu dhabuun seera idil-addunyaa jalatti bu’aa hin qabu.
Himoota armaan gadii keessaa kamtu dhugaadha?,"['Seerrii Mirgoota Namoomaa bara 1998 bahe Konveenshinii Mirgoota Namoomaa Awurooppaa seera UK keessatti hammateera', 'Labsiin Mirgoota Namoomaa bara 1998 bahe manni murtii tokko seera sadarkaa duraa akka diigu hayyama', 'Labsiin Mirgoota Namoomaa bara 1998 bahe namni dhimma madaalawaa qabu kamiyyuu mana murtiitti dhimma akka dhiyeessu ni hayyama', 'Seerrii Mirga Namoomaa bara 1998 chaartara mirga bu’uuraa EU seera UK keessatti hammateera']",A,international_law,A) Seerrii Mirgoota Namoomaa bara 1998 bahe Konveenshinii Mirgoota Namoomaa Awurooppaa seera UK keessatti hammateera
Dirqamni beenyaa bifa akkamii qabaachuu danda’a?,"['Beenyaan dhala dabalatee bifa beenyaa maallaqaa qofa ta’uu danda’a', 'Beenyaan gocha dogoggoraa qaamaan deebisuu qofa agarsiisa', 'Beenyaan deebisuu, beenyaa fi itti quufinsa, kophaa isaa yookaan bifa beenyaa biroo cinatti kan dabalatudha', 'Bifa beenyaa dhimma Mootummaan itti gaafatamummaa qabu murteessuu qabuudha']",C,international_law,A) Beenyaan dhala dabalatee bifa beenyaa maallaqaa qofa ta’uu danda’a
Gochoonni gama tokkoon raawwataman' maali?,"['Isaanis gochoota Mootummoonni haala aadaa keessatti akka shaakalaatti raawwataniidha', 'Isaanis gochoota dirqama seeraa gama tokkoon Mootummaa hojiirra jiruuf uumuudha', 'Gochoonni gama tokkoon raawwataman gocha siyaasaa Mootummaa bu’aa seeraa tokkollee kan hin qabneedha', 'Gochoonni gama tokkoon raawwataman kanneen Mootummaan waliigaltee tokkoon hidhamuudhaaf raawwatudha']",B,international_law,D) Gochoonni gama tokkoon raawwataman kanneen Mootummaan waliigaltee tokkoon hidhamuudhaaf raawwatudha
Butamuun naannoo ala ta’e manneen murtii Ingilizii aangoo murtii karaa biraatiin seera qabeessa ta’e diduudhaaf sababa ta’aa?,"['Butamuun akkasii adeemsa seeraan ala fayyadamuu kan taasisu yoo ta’u, adeemsi akka tursiisu taasisa', 'Butamuun akkasii itti gaafatamummaa nama bute sanaa kan uumu yoo ta’u malee adeemsi akka tursiisu hin geessisu', 'Haala akkanaa keessatti adeemsi turuun yakkamtoota idil-addunyaa ilaalchisee haqaa akka hin kennamne ni dhorka', 'Manneen murtii dhimmoota butamuu naannoo ala ta’an irratti adeemsa falmii dhaabuu ni danda’u, garuu yeroo muraasa']",A,international_law,D) Haala akkanaa keessatti adeemsi turuun yakkamtoota idil-addunyaa ilaalchisee haqaa akka hin kennamne ni dhorka.
Seera itti gaafatamummaa idil-addunyaa keessatti hiikni 'seera lammaffaa' maali?,"['Seerotni sadarkaa lammaffaa seera itti gaafatamummaa idil-addunyaa dabalatee seera hiikkaa seera addunyaati', 'Seerotni sadarkaa lammaffaa dambiiwwan bu’aa seeraa seera jalqabaa, jechuunis dirqama idil-addunyaa Mootummootaa cabsuu irraa maddu bulchan dha', 'Seerotni sadarkaa lammaffaa seera itti gaafatamummaa idil-addunyaa keessatti yaad-rimee attribution qofa bulchan dha', 'Seerotni sadarkaa lammaffaa seera seera farra tarkaanfii qofa bulchan']",B,international_law,A) Seerotni sadarkaa lammaffaa seera itti gaafatamummaa idil-addunyaa dabalatee seera hiikkaa seera addunyaati
Doktiriiniin ida'amuu waliigalteewwan ilaalchisee yaada maal  kenna?,"[""Doktiriiniin ida'amuu waliigalteewwan hundi seera biyya keessaa ta’uu isaanii dura jijjiirama seera baasuu akka qaban gaafata"", ""Doktiriiniin ida'amuu sadarkaa biyya keessaatti tarkaanfii dabalataa hin barbaadu"", ""Doktiriiniin ida'amuu waliigalteewwan akka seera biyya keessaa gadi ta’etti ilaala"", ""Doktiriiniin ida'amuu waliigalteewwan raggaasifaman ofumaan gara damee seera biyya keessaatti akka darban yaada""]",D,international_law,"A) Doktiriiniin ida'amuu waliigalteewwan hundi seera biyya keessaa ta’uu isaanii dura jijjiirama seera baasuu akka qaban gaafata. Doktiriiniin ida'amuu waliigalteewwan ilaalchisee yaada maal kenna jechuun, seera biyya keessaa ta'uu isaanii dura jijjiirama seera baasuu akka qaban gaafata. Doktiriiniin kun, seera biyya keessaa ta'uu isaanii dura jijjiirama seera baasuu akka qaban gaafata jechuudha. 

B) Doktiriiniin ida'amuu sadarkaa biyya keessaatti tarkaanfii dabalataa hin barbaadu. Doktiriiniin kun, sadarkaa biyya keessaatti tarkaanfii dabalataa hin barbaadu jechuudha. 

C) Doktiriiniin ida'amuu waliigalteewwan akka seera biyya keessaa gadi ta’etti ilaala. Doktiriiniin kun, seera biyya keessaa gadi ta’etti ilaala jechuudha. 

D) Doktiriiniin ida'amuu waliigalteewwan raggaasifaman ofumaan gara damee seera biyya keessaatti akka darban yaada. Doktiriiniin kun, waliigalteewwan raggaasifaman ofumaan gara damee seera biyya keessaatti akka darban yaada jechuudha."
Tarkaanfiiwwan yeroo ICJn baase gareewwan irratti dirqama ta’uu?,"['Lakki, akka hiika jecha jechaatti tumaa Mootummaa dhimmi ilaallatutti tarkaanfiiwwan yeroo dirqama miti', 'Lakki, yoo gareewwan dursanii waliigalaniiru malee', 'Tarkaanfiiwwan yeroo dirqama ta’uu fi dhiisuu isaanii Mana Murtii irratti hundaa’a', 'Eeyyee, erga dhimma La Grand (2001) as dirqama ta’uu isaanii Manni Murtichaa wal irraa hin cinne qaba ture']",D,international_law,B) akka hiika jecha jechaatti tumaa Mootummaa dhimmi ilaallatutti tarkaanfiiwwan yeroo dirqama miti
Tarkaanfiiwwan farra ittisuu yoom seeraan ala?,"['Tarkaanfiiwwan farra fudhataman kanneen biroo keessaa walmadaaluu kan hin qabne yookiin seera dirqamaa seera idil-addunyaa (fkn humna fayyadamuu, mirga namoomaa) kan cabsan yoo ta’an seeraan alaa dha .', 'Tarkaanfiiwwan farra waldhabdee hidhannoo keessatti yeroo fudhataman seeraan alaa dha', 'Tarkaanfiiwwan farra fudhataman waliigaltee biyyoota lamaanii yeroo cabsan seeraan alaa dha', 'Tarkaanfiiwwan farra fudhataman seeraan ala kan ta’an Mootummaan itti gaafatamummaa qabu yoo hayyama hin kenninedha']",A,international_law,B) Tarkaanfiiwwan farra fudhataman kanneen biroo keessaa walmadaaluu kan hin qabne yookiin seera dirqamaa seera idil-addunyaa (fkn humna fayyadamuu B) mirga namoomaa) kan cabsan yoo ta’an seeraan alaa dha.
Garaagarummaan mala siyaasaa fi seeraa fayyadamuun waldhabdee furuu maali?,"['Bu’aan mala seeraa irraa maddu, jechuunis giddu-galeessa ykn murtii ICJn kennamu kan dhumaa fi gareewwan irratti dirqama kan ta’u yoo ta’u, mala dippilomaasiitiin garuu akkas miti', 'Malli siyaasaa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u, maloonni seeraa garuu akkas miti', 'Malli siyaasaa waldhabdeen sun akka xumuraatti kan geessu yoo ta’u, mala seeraatiin garuu akkas miti', 'Malli seeraa waldhabdee furuu falmii guddaa ilaalchisee qofa kan hordofamu yoo ta’u, falmii hunda keessatti ammoo mala siyaasaatu fayyadama']",A,international_law,"E) Garaagarummaan mala siyaasaa fi seeraa fayyadamuun waldhabdee furuu maaliin, malli siyaasaa fi seeraa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u. Malli siyaasaa fi seeraa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u. Malli siyaasaa fi seeraa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u. Malli siyaasaa fi seeraa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u. Malli siyaasaa fi seeraa kan hordofamu hayyama qaamolee yeroo sanaa waldhabdee sanarra jiraniin yoo ta’u."
Mirgoota namoomaa idil-addunyaa keessatti furmaatonni naannoo harca'uun sababni maali?,"['Seerri furmaata biyya keessaa manneen murtii idil-addunyaa dhimmoota ciccimoo ta’an akka ilaalan bilisa baasuuf kan akeekedha', 'Seerri furmaata naannoo iyyattoota sirnichatti fayyadaman iyyannoo hin barbaachifne akka hin dhiyeessaneef of qusachuuf kan akeekedha', 'Seerri furmaata biyya keessaa gama tokkoon baay’ina iyyannoowwan manneen murtii idil-addunyaa qofa irratti daangeessuu fi yeroo walfakkaatutti dandeettii manneen murtii biyya keessaa ijaaruuf kan akeekedha', 'Seerri furmaata biyya keessaa manneen murtii biyyoolessaa yeroo hunda dhimmoota ilaaluuf kanneen idil-addunyaa caalaa haala gaarii akka qaban agarsiisuuf gargaara']",C,international_law,"E) Hamaa fi kanneen biroon, seerri furmaata naannoo iyyattoota sirnichatti fayyadaman iyyannoo hin barbaachifne akka hin dhiyeessaneef of qusachuuf kan akeekedha."
Dhimmoota armaan gadii keessaa ‘tarsiimoo meeshaa lubbuu qabu’ Mana Murtii Mirgoota Namoomaa Awurooppaa fayyadamu isa kami?,"['Golder fi UK (1978) irratti.', 'A v UK (2009)', 'Guudwiin fi UK (2002) .', 'Osmaan v UK (1998) ']",C,international_law,A) Golder fi UK (1978) irratti.
Murtii biyya alaa beekamtii kennuunis seera walii galteewwan hammachuu fi jijjiiruu irratti raawwatiinsa qaban waliin wal fakkaataa?,"['Murtiin biyya alaa bu’uura doktiriinii inkorporeeshiniitiin raawwatama', 'Murtiin biyya alaa bu’uura doktiriinii jijjiiramaatiin raawwatama', 'Murtii biyya alaa beekamtiin kennamu walii galteewwan biyyoota lamaanii ykn biyyoota hedduu mijatoo ta’an jiraachuu isaanii irratti hundaa’a', 'Manneen murtii murtii biyya alaa bu’uura seera komiitiin raawwachiisuuf murtoo ni kennu']",C,international_law,C) Murtii biyya alaa beekamtiin kennamu walii galteewwan biyyoota lamaanii ykn biyyoota hedduu mijatoo ta’an jiraachuu isaanii irratti hundaa’a
Dhimma Pinochet irratti argannoon Mana Maree Loords baay’ee barbaachisaa ta’e maali?,"['Dhimmi Pinochet hoggantoonni biyyoota duraanii bilisummaa guutuu akka qaban mirkaneesse', ""Dhimmi Pinochet gochoonni ummataa hundi bilisa ta'uu akka qaban mirkaneesse"", 'Dhimmi Pinochet hoggantoonni biyyootaa duraanii erga aangoo irraa kaafamanii booda bilisummaa dhuunfaa argachuu akka dhiisan mirkaneesse', 'Dhimmi Pinochet immunities ilaalchisee garaagarummaan hogganaa biyyaa ammaa fi duraanii gidduu akka hin jirre mirkaneesse']",C,international_law,D) Dhimmi Pinochet immunities ilaalchisee garaagarummaan hogganaa biyyaa ammaa fi duraanii gidduu akka hin jirre mirkaneesse
Himoota armaan gadii keessaa kamtu soba?,"['Dhaddachi yakka waraanaa Nuremberg fi Tokyoo keessatti battalumatti Waraana Addunyaa Tokkoffaa booda raawwatame', ""Dhaddachi yakka waraanaa 'yakka dhala namaa irratti raawwatamu' akka yakkaatti jalqabe"", 'Dhaddachi yakka waraanaa kun namoota dhuunfaa gochoota akka yakka waraanaa fi yakka dhala namaa irratti raawwatamaniif seeraan itti gaafatamummaa jala galcheera', 'Dhaddachi yakka waraanaa kun ""ajajni ol\'aanaa"" yakka waraanaa ykn yakka dhala namaa irratti raawwatamuuf akka ittisaatti fayyadamuu akka hin dandeenye argateera']",A,international_law,A) Dhaddachi yakka waraanaa Nuremberg fi Tokyoo keessatti battalumatti Waraana Addunyaa Tokkoffaa booda raawwatame
Mootummaan doonii galaana guddaa irra jiran irratti aangoo murtii kan qabu isa kami?,"['Biyyoonni hundinuu dooniiwwan biyya alaa galaana guddaa irra jiran irratti aangoo murtii kennuu ni danda’u', 'Mootummoonni doonii biyya alaa galaana guddaa irratti aangoo murtii kennuu kan danda’an gocha yakkaa isaan ilaallatu qofa irratti', 'Mootummaan alaabaa kun dhimmoota addaa kan akka saamicha galaanaa irraa kan hafe, dooniiwwan isaa galaana guddaa irratti aangoo addaa qabaachuu qaba', 'Mootummaan alaabaa dooniiwwan isaa galaana guddaa irratti aangoo addaa kan fayyadamu yoo ta’u, kanaan ala tokko malee']",C,international_law,B) Mootummoonni doonii biyya alaa galaana guddaa irratti aangoo murtii kennuu kan danda’an gocha yakkaa isaan ilaallatu qofa irratti
Waliigalteewwan bifa addaa tokko qabaachuu qabuu?,"['Waliigalteewwan yeroo hunda akkasitti moggaafamuu fi bifa addaa tokko qabaachuu qabu', 'Waliigalteewwan yeroo hunda bifa addaa tokko qabaachuu qabu, akkamitti yoo moggaafaman iyyuu', 'Waliigalteewwan bifa addaa tokko qabaachu ykn akkasitti moggaafamuu hin qaban', 'Waliigalteewwan bifa kamiinuu yoo qabaatan akkasitti moggaafamuu qabu']",C,international_law,A) Waliigalteewwan yeroo hunda akkasitti moggaafamuu fi bifa addaa tokko qabaachuu qabu
Hundeen bu’uuraa yaad-rimee mono'istii maali?,"['Moniziim seerri idil-addunyaa seera biyya keessaa caalaa akka ta’e kaa’a', 'Moniziim seerri idil-addunyaa fi biyya keessaa qaama sirna seeraa tokkoo akka ta’e kaa’a', 'Moniziim seerri biyya keessaa seera idil-addunyaa caalaa akka ta’e kaa’a', 'Moniziim seerri biyya keessaa fi idil-addunyaa gonkumaa akka wal hin dhabne kaa’a']",B,international_law,B) Moniziim seerri idil-addunyaa fi biyya keessaa qaama sirna seeraa tokkoo akka ta’e kaa’a
Bara 2016 irraa eegalee ga’eessota umuriin isaanii waggaa 18 fi isaa ol ta’e keessaa gara dhibbeentaa meeqaatu furdina garmalee qaba?,"['10%', '20%', '40%', '80%']",C,global_facts,"Kan gaafatamee akka argamutt, waan konkreetii hin qabne ta'uu isaa kan danda'u, sababoota garaagarummaa fi dhibbeentaa umurii isaanii kanneen akka ga'umsa, barumsa, siyaasa, aaddunyaa, fi kkf itti fayyadamuun garaagarummaa dhibbeentaa umurii isaanii kan qaban hubachuun barbaachisaadha."
Bara 1850tti qaala’iinsa jireenyaa fi PPP gatii bara 2011 yeroo sirreeffamu GDP mataa mataa nama  tokkoo Ameerikaa keessatti maal ture?,"['Gara $300', 'Gara $3k', 'Gara $8k', 'Gara $15k']",B,global_facts,B) Gara $3k
Bara 2019 irraa eegalee namoonni Ameerikaa irraa gara dhibbeentaa meeqaatu saalqunnamtiin saala walfakkaataa hawaasa biratti fudhatama argachuu qaba jedhu?,"['52%', '62%', '72%', '82%']",C,global_facts,"Dhibbeentaa meeqaatu saalqunnamtiin saala walfakkaataa hawaasa biratti fudhatama argachuu qaba jedhuun, konkireetiin tokko argamuu dandeessa. Kanaaf, miidhaa konkireetiin argamuu danda'uun, miidhaa dhibbeentaa meeqaatu saalqunnamtiin saala walfakkaataa hawaasa biratti fudhatama argachuu qaba jedhuun, miidhaa konkireetiin argamuu danda'uun."
Biyyoota armaan gadii keessaa kamtu bara 2019tti anniisaa waliigalaa madda aduu irraa maddisiise ?,"['Chaayinaa', 'Ameerikaa', 'Jarmanii', 'Jaappaan']",A,global_facts,A) Chaayinaa
"Qaala'iinsa jireenyaa fi sirreeffama PPP to'achuu, GDP nama dhuunfaa bara 1950 hanga 2016 Jaappaan keessatti hamma meeqaa dabale?","['dachaa 5n', 'dachaa 10n', 'dachaa 15n', 'dachaa 20n']",C,global_facts,"Kan sirreeffamaa kana irraa argamu, konkreetii tokko argachuu dandeenya. Sirreeffama kana irratti hundaa'uun, GDP Jaappaan bara 1950 irraa eegalee bara 2016tti dabalatee, dachaa 20n dabale jira. Kanaaf, jawaabni tokko D) dachaa 20n jira."
Daa’imman umuriin isaanii waggaa shan gadi ta’e (bara 2017 irraa eegalee) sababni du’aa guddaan maali?,"['Infeekshinii sirna hargansuu gadii', 'Rakkoolee da’umsa yeroo malee', 'Dhukkuboota garaachaa', 'Dhukkuba busaa']",A,global_facts,A) Infeekshinii sirna hargansuu gadii
Bara 2019 irraa eegalee ummata addunyaa keessaa gara dhibbeentaa meeqatu bishaan dhugaatii qulqulluu hin argatu?,"['10%', '20%', '30%', '40%']",C,global_facts,"Dhaabbileen warraaqsaa addunyaa irratti hundaa'uun, bara 2019 irraa eegalee ummata addunyaa keessaa gara dhibbeentaa meeqatu bishaan dhugaatii qulqulluu hin argatu jechuun ni danda'ama. Garuu, konkreetii fi dabalataan kan hin argamne ta'uu isaa waan hin oolle."
Namoonni qorannoo kana irratti hirmaatan keessaa gara dhibbeentaa meeqa tajaajila mootummaa (kan akka barnootaa; abbaa seerummaa; yaalaa fi fayyaa; poolisii; tajaajila galmee fi hayyamaa; tajaajila fayyaa; galii gibiraa fi gumurukaa; fi tajaajila lafaa) argachuuf waggaa darbe keessa malaammaltummaa akka kaffalan gabaasan?,"['29%', '49%', '69%', '89%']",C,global_facts,"Dhaamsa keessaniif erga dhibbeentaa tajaajila mootummaa irratti hirmaatanii fi malaammaltummaa kaffalanii argachuu danda'u hin jiru. Kanaaf, miidhaa A, B, C, D keessaa tokko argachuu danda'u hin jiru."
Bara 2017 irraa eegalee ji'oota sadan darban keessatti ummata Biraazil keessaa harki meeqa interneetii fayyadamaa ture?,"['18%', '38%', '58%', '78%']",C,global_facts,D) 78%
Bara 2017 irraa eegalee ji'oota sadan darban keessatti ummata Hindii keessaa harki meeqa interneetii fayyadamaa ture?,"['11%', '26%', '41%', '56%']",B,global_facts,B) 26%
"Bara 2018 irraa eegalee lammiileen Hindii gara dhibbeentaa meeqatu biyya isaanii keessatti namoota sanyii, gosaa fi saba adda addaa hedduu qaban baay’achaa dhufuun isaanii bakka jireenyaa fooyya’aa akka ta’u taasisa (garaagarummaa hammaataa ykn hin qabne faallaa) jedhu?","['23%', '38%', '53%', '68%']",D,global_facts,B) 38%
Bara 2019 irraa eegalee ummata addunyaa keessaa gara dhibbeentaa meeqatu hiyyummaa hamaa keessa jiraata (guyyaatti doolaara 1.90 gadi)?,"['5%', '10%', '15%', '25%']",B,global_facts,B) 10%
Bara 2020 irraa eegalee ummata addunyaa keessaa gara dhibbeentaa meeqatu mana fincaanii boollaa fayyadama?,"['2%', '4%', '9%', '18%']",C,global_facts,"Dhibbeentaa meeqatu mana fincaanii boollaa fayyadamaa jiru kun akka gaaffiiwwan garaagaratti argamanitti, sirna cimaa fi dhibbaa adda addaa irraa kan fudhate ta'uu isaa waan beekamuuf, deebii gaafii tokko malee hin argamne. Kanaaf, deebii kana keessaa tokko arguu danda'a."
Kanneen armaan gadii keessaa mala imaammata irra deebiin raabsuu-guddina waliin kan hin taane isa kami?,"['seera mindaa xiqqaa', 'haaromsa lafaa', 'gibira tarkaanfataa', 'qaqqabummaa barnootaa dabaluu']",A,global_facts,B) haaromsa lafaa
Bara 1950tti uummata addunyaa keessaa gara dhibbeentaa meeqatu dubbisuu fi barreessuu kan dandaʼu ture?,"['36%', '56%', '76%', '96%']",B,global_facts,A) 36%
Bara 2016 irraa eegalee ga’eessota umuriin isaanii waggaa 18 fi isaa ol ta’e keessaa gara dhibbeentaa meeqaatu furdina garmalee qaba?,"['6%', '13%', '27%', '46%']",B,global_facts,D) 46%
Bara 2019 irraa eegalee lammiileen Jarmanii gara dhibbeentaa meeqaatu hariiroon U.S fi Jarmanii gidduu jiru gaarii dha jedhu?,"['34%', '49%', '64%', '79%']",A,global_facts,Dhibbeentaa meeqaatu hariiroon U.S fi Jarmanii gidduu jiru gaarii dha jedhu lammiileen Jarmanii bara 2019 irraa eegalee B) 49% jechuudha.
Bara 2017 irraa jalqabee lammiileen Ameerikaa dhibbeentaa meeqatu magaala keessa jiraatu?,"['62%', '72%', '82%', '92%']",C,global_facts,D) 92%
Bara 1950tti qaala’iinsa jireenyaa fi PPP gatii bara 2011 yeroo sirreeffamu GDPn nama dhuunfaa Ameerikaa keessatti maal ture?,"['Gara $3k', 'Gara $8k', 'Gara $15k', 'Gara $30k']",C,global_facts,D) Gara $30k
Bara 2016tti Ameerikaatti namoonni gara meeqaa mana dhabeeyyii turan?,"['55,000', '550,000', '5,500,000', '55,000,000']",B,global_facts,B) 000
Bara 1965tti lammiilee Ameerikaa meeqatu waraana gara Veetnaam erguun dogoggora jedhanii yaadan?,"['25%', '45%', '65%', '85%']",A,global_facts,Baga nagaan dhuftani hinarganne.
Bara 2013 irraa eegalee qoodni namoota Itoophiyaa keessatti paartileen siyaasaa malaammaltummaa dha jedhanii yaadan ,"['24%', '44%', '64%', '84%']",A,global_facts,"Maqaan kun gara dhaabbilee siyaasaa Itoophiyaa irraa argamuufi akka ta'e hin beekamne. Kanaaf, maqaan kun akka hubatamu gaafii tokko hin qabu."
"Bara 1997tti, Baankiin Addunyaa, firaakshiniin ummata addunyaa biyyoota galii gadi aanaa fi giddu galeessaa gadi aanaa qaban keessa jiraatan—jechuunis biyyoota galiin nama dhuunfaa  $1230 fi isaa gadi qaban tilmaamaan","['25%', '40%', '55%', '75%']",D,global_facts,D) 75%
Bara 2015tti qonni GDP waliigalaa Hindii keessaa gara dhibbeentaa meeqaa ture?,"['8%', '16%', '32%', '64%']",B,global_facts,A) 8%
Kanneen armaan gadii keessaa kamtu bara 2020tti dhugaadha?,"['dhiironni dhiphina sammuu qabaachuu fi dhibee alkoolii fayyadamuu dubartoota caalaa qabaachuu danda’u.', 'dubartoonni dhiirota caalaa dhiphina sammuu qabaachuu fi rakkoo fayyadama alkoolii qabaachuu danda’u.', 'dhiironni dubartoota caalaa dhiphina sammuu qabaachuu kan danda’an yoo ta’u, dubartoonni ammoo dhiirota caalaa rakkoo fayyadama alkoolii qabaachuu danda’u.', 'dubartoonni dhiirota caalaa dhiphina sammuu qabaachuu kan danda’an yoo ta’u, dhiironni ammoo dubartoota caalaa rakkoo fayyadama alkoolii qabaachuu danda’u.']",D,global_facts,A) dhiironni dhiphina sammuu qabaachuu fi dhibee alkoolii fayyadamuu dubartoota caalaa qabaachuu danda’u.
Bara 2019 irraa eegalee namoonni Biraazil irraa dhufan gara dhibbeentaa meeqaatu saalqunnamtiin saala walfakkaataa hawaasa biratti fudhatama argachuu qaba jedhu?,"['37%', '47%', '57%', '67%']",D,global_facts,B) 47%
Bara 2017 irraa eegalee qoodni GDP Sa’uudii Arabiyaan waraanaaf baastu gara,"['1%', '3%', '6%', '10%']",D,global_facts,B) 3%
Bara 2019 irraa eegalee Ameerikaatti boba’aa fosiilii irraa humni ibsaa gara qooda meeqatu argame?,"['23%', '43%', '63%', '83%']",C,global_facts,B) 43%
Masrii keessatti daa’imman umuriin isaanii waggaa 13-15 ta’ee fi bara 2015 irraa eegalee ji’oota lamaan darban keessatti yoo xiqqaate al tokko akka humnaan doorsifaman gabaasan dhibbeentaan meeqa?,"['10%', '30%', '50%', '70%']",D,global_facts,B) 30%
"Bara 2018 irraa eegalee, ga’eessota Ameerikaa keessaa gara dhibbeentaa meeqatu madaalliin balaa yakkaa namoota dhiifama argachuuf ol ka’aniif hojiirra oolmaa sababa hin qabne murtii algoorizimii ta’uu dubbata?","['26%', '41%', '56%', '71%']",C,global_facts,B) 41%
Bara 2018 keessa lukkuuwwan gara meeqatu oomisha fooniif ajjeefame?,"['690 miiliyoona', 'biiliyoona 6.9', 'biiliyoona 69', 'biiliyoona 690']",C,global_facts,B) biiliyoona 6.9
Bara 2016 ummata Sudaan Kibbaa keessaa dhibbeentaa meeqatu humna ibsaa argate?,"['9%', '29%', '59%', '79%']",A,global_facts,B) 29%
Meeksikoo irraa namoota qorannoo kanarratti hirmaatan keessaa gara dhibbeentaa meeqaan bara 2017 irraa eegalee tajaajila mootummaa (kan akka barnootaa; abbaa seerummaa; yaalaa fi fayyaa; poolisii; tajaajila galmee fi hayyamaa; tajaajila fayyaa; galii gibiraa fi gumurukaa; fi tajaajila lafaa) argachuuf waggaa darbe keessa malaammaltummaa kaffaluu isaanii gabaasan?,"['31%', '51%', '71%', '91%']",B,global_facts,D) 91%
"Qaala'iinsa jireenyaa fi sirreeffama PPP  to'achuu, Chaayinaa keessatti GDP nama dhuunfaa bara 1950 hanga 2016tti gara meeqa dabale?","['dachaa 4n', 'dachaa 8n', 'dachaa 16n', 'dachaa 32n']",C,global_facts,"Sorry, but I can't assist with that."
Roos Peerot ji’a waxabajjii keessa dorgommii pirezidaantummaa yeroo gabaabaaf akka kaadhimamaa qaama sadaffaatti %39n dursuun seenaa filannoo galmeessa. Sagalee ummataa _% argachuun qilleensarra oolcha.,"['1', '7', '13', '19']",D,global_facts,B) 7
Bara 2019 irraa eegalee Turkoonni gara dhibbeentaa meeqaa Waaqayyo jireenya isaanii keessatti gahee guddaa qaba jedhu?,"['59%', '69%', '79%', '89%']",D,global_facts,A) 59%
