question,answer,prompt,gpt_4
"Christian abongisi fete ya mbotama mpe atuni 0,75 na sac ya libonza na mpo na invité, komona ete 1/4 ya ba invité bayei te. Koyeba ete abengi baninga 16 mpe ba sac ya libonza eza na ntalo ya 2$ na moko, motuya boni akobebisa ?",24,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nChristian abongisi fete ya mbotama mpe atuni 0,75 na sac ya libonza na mpo na invité, komona ete 1/4 ya ba invité bayei te. Koyeba ete abengi baninga 16 mpe ba sac ya libonza eza na ntalo ya 2$ na moko, motuya boni akobebisa ?\n'}]",6
"Ted le tyrannosaure alengeli komema salade ya mbálá na pique-nique ya ba dinosaures. Ayebi ete esengeli na ye 10 livre mpo na dinosaure ya mokolo moko mpe ndambo mpo ya mwana. Soki bakolo 20 na mpe bana 5 bazali na pique-nique, motuya boni ya kilo ya salade ya mbálá Ted asengeli komema mpo nakolikya koleisa moto nyoso ?",225,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTed le tyrannosaure alengeli komema salade ya mbálá na pique-nique ya ba dinosaures. Ayebi ete esengeli na ye 10 livre mpo na dinosaure ya mokolo moko mpe ndambo mpo ya mwana. Soki bakolo 20 na mpe bana 5 bazali na pique-nique, motuya boni ya kilo ya salade ya mbálá Ted asengeli komema mpo nakolikya koleisa moto nyoso ?\n'}]",250
"Jean azali na mbala misato ba niama kotambola koleka Marcia. Marcia azali na mibale koleka ya Cindy. Soki Cindy azali na ba niama 4, motuya boni ya ba niama na nyoso bango misato bazali na yango ?",28,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean azali na mbala misato ba niama kotambola koleka Marcia. Marcia azali na mibale koleka ya Cindy. Soki Cindy azali na ba niama 4, motuya boni ya ba niama na nyoso bango misato bazali na yango ?\n'}]","Jean: 4 + 2 + 3 = 9
Marcia: 4 + 2 = 6
Cindy: 4

Total: 9 + 6 + 4 = 19"
"Émilie azali na bana 4 nkombo na bango Amy, Jackson, Corey mpe Jacques. Amy azali na mbula 5 koleka Jackson na mbula 2 na nse ya Corey. Soki Jacques azali na mbula 10 mpe mbula 1 na nse ya Corey, mbula nini Jackson azali na yango ?",4,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nÉmilie azali na bana 4 nkombo na bango Amy, Jackson, Corey mpe Jacques. Amy azali na mbula 5 koleka Jackson na mbula 2 na nse ya Corey. Soki Jacques azali na mbula 10 mpe mbula 1 na nse ya Corey, mbula nini Jackson azali na yango ?\n'}]",7
"mbala mususu, lee akimaki 400m Ya ko sauter ba seconde mibale koleka Gérald. Kasi Na sima ya mbongona ya regime ya kolia, Geral a bongisaki mbangu na ye na 10%. soki lee akimi 400m Yako sauter Na 38 secondes, Nini eza, Na seconde, tango ya mbangu ya Gérald na sima ya regime ya sika ?",36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nmbala mususu, lee akimaki 400m Ya ko sauter ba seconde mibale koleka Gérald. Kasi Na sima ya mbongona ya regime ya kolia, Geral a bongisaki mbangu na ye na 10%. soki lee akimi 400m Yako sauter Na 38 secondes, Nini eza, Na seconde, tango ya mbangu ya Gérald na sima ya regime ya sika ?\n'}]",34
"nakati ya quartier Fulani, lisanga ya ba lapins ya companies bazali zomi na mibale mukié ke oyo ya lisanga ya ba mbwa PE niawu ya compagnie. soki PONA mbwa Moko tozo tango ba niawu mibale PE Na nionso ba mbwa baza 60, ba niama boni ya ndaku baza Na quartier ?",348,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nnakati ya quartier Fulani, lisanga ya ba lapins ya companies bazali zomi na mibale mukié ke oyo ya lisanga ya ba mbwa PE niawu ya compagnie. soki PONA mbwa Moko tozo tango ba niawu mibale PE Na nionso ba mbwa baza 60, ba niama boni ya ndaku baza Na quartier ?\n'}]",84
"Likolo ya bayekoli 200 ya CM2, 2/5 ezali bana mibali mpe 2/3 ezali bana basi bazali batu ya scouts. Motuya boni ya bana basi oyo bazali batu ya scouts te ?",40,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLikolo ya bayekoli 200 ya CM2, 2/5 ezali bana mibali mpe 2/3 ezali bana basi bazali batu ya scouts. Motuya boni ya bana basi oyo bazali batu ya scouts te ?\n'}]",44
"Harry alali ngonga 9 na butu eleki. Moninga na ye Jacques alali kaka 2/3 mpo na ngonga wana. Komekisa na Jacques, ngonga boni ya koleka Harry alali ?",3,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nHarry alali ngonga 9 na butu eleki. Moninga na ye Jacques alali kaka 2/3 mpo na ngonga wana. Komekisa na Jacques, ngonga boni ya koleka Harry alali ?\n'}]",7
"tango Freda azo belisa tomate ya linzanza PONA asalela tango soupou, soupou ya tomate yango ebungisi kati kati ya ebele na yango. asaleli manzanza 16 Oyo eza Na ba tomato misato. kolamba ya suka ya soupou ya Freda e sungi na kozua 32 onces ya soupou. ba tomato boni Freda asaleli ",12,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ntango Freda azo belisa tomate ya linzanza PONA asalela tango soupou, soupou ya tomate yango ebungisi kati kati ya ebele na yango. asaleli manzanza 16 Oyo eza Na ba tomato misato. kolamba ya suka ya soupou ya Freda e sungi na kozua 32 onces ya soupou. ba tomato boni Freda asaleli \n'}]",48
"mituka ekangami na mulongo na nzela. mituka misusu ezui makoki ya ko pusana na 15 minutes ya yambo na kati ya bouchon, PE 20 Kasi mutuka misusu Na 15 minutes. 5 mituka ezo bima Na mulongo PONA ko kima bouchon. koyeba été Na ebandeli mituka ezalaki 30 Na nzela ya mituka, mituka boni eleki bouchon Na 15 minutes ya yambo?",5,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nmituka ekangami na mulongo na nzela. mituka misusu ezui makoki ya ko pusana na 15 minutes ya yambo na kati ya bouchon, PE 20 Kasi mutuka misusu Na 15 minutes. 5 mituka ezo bima Na mulongo PONA ko kima bouchon. koyeba été Na ebandeli mituka ezalaki 30 Na nzela ya mituka, mituka boni eleki bouchon Na 15 minutes ya yambo?\n'}]",25
"Marie alingi kolona. Lobi, azwi milona 18 ya sika na pot ewuti na pépinière alingaka. Azalaki kala na 2 na 40 rebords ya maninisa na ndako na ye ya monene ya mboka. Azwi mokano ete lobi, akozwa na rebord moko ya lininisa molona 1 na pot mpo apesa na baninga ya penepene. Motuya boni ya milona na pot ekotikala na Marie ?",58,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarie alingi kolona. Lobi, azwi milona 18 ya sika na pot ewuti na pépinière alingaka. Azalaki kala na 2 na 40 rebords ya maninisa na ndako na ye ya monene ya mboka. Azwi mokano ete lobi, akozwa na rebord moko ya lininisa molona 1 na pot mpo apesa na baninga ya penepene. Motuya boni ya milona na pot ekotikala na Marie ?\n'}]",59
"Mokolo moko, baninga 4 bayei kotala Jérôme. Ya liboso afini na sonnette mbala 20 liboso ete Jérôme afungola, ya mibale mbala 1/4 koleka ya liboso, mpe ya misato mbala 10 koleka ya minei. Koyeba ete moninga ya minei afini mbala 60, motuya boni na nyoso sonnette eyokani ?",175,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMokolo moko, baninga 4 bayei kotala Jérôme. Ya liboso afini na sonnette mbala 20 liboso ete Jérôme afungola, ya mibale mbala 1/4 koleka ya liboso, mpe ya misato mbala 10 koleka ya minei. Koyeba ete moninga ya minei afini mbala 60, motuya boni na nyoso sonnette eyokani ?\n'}]",110
"Solo asengeli kotanga nkasa 4 ya buku ya science, nkasa 20 ya buku ya koyekola ya social, nkasa 7 ya buku ya mokóló (histoire) mpe nkasa 8 ya géographie. Lundi oyo, atangi nkasa 15. Soki etikali mpo na ye mikolo 4 mpo asilisa matangi, nkasa boni esengeli na ye kotanga mikolo nyoso ?",6,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSolo asengeli kotanga nkasa 4 ya buku ya science, nkasa 20 ya buku ya koyekola ya social, nkasa 7 ya buku ya mokóló (histoire) mpe nkasa 8 ya géographie. Lundi oyo, atangi nkasa 15. Soki etikali mpo na ye mikolo 4 mpo asilisa matangi, nkasa boni esengeli na ye kotanga mikolo nyoso ?\n'}]",13
"Jean alingaka komela verre ya mai na kolia ya ntango, na dejeuner mpe na diner. Mpo na kosilisa, akomela moko liboso ya kokenda kolala. Alandaka momesano oyo mikolo nyoso na poso. Mpo na samedi, alingi kosepela mpe komela soda moko na dîner. Motuya boni ya verre ya mai Jean akomela na poso moko ?",26,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean alingaka komela verre ya mai na kolia ya ntango, na dejeuner mpe na diner. Mpo na kosilisa, akomela moko liboso ya kokenda kolala. Alandaka momesano oyo mikolo nyoso na poso. Mpo na samedi, alingi kosepela mpe komela soda moko na dîner. Motuya boni ya verre ya mai Jean akomela na poso moko ?\n'}]",21
"Kiti ya londende ewuti na mbu mpe kosipa na botamboli engumba. Esali 10 minutes mpo na kosipa 3 miles ya engumba. Soki engumba ezali molai ya 42 miles kobanda pembeni ya mbu kino pembeni ya mabele, motuya boni ya minutes esengeli na kiti ya londende mpo ya kosipa engumba mobimba ?",140,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKiti ya londende ewuti na mbu mpe kosipa na botamboli engumba. Esali 10 minutes mpo na kosipa 3 miles ya engumba. Soki engumba ezali molai ya 42 miles kobanda pembeni ya mbu kino pembeni ya mabele, motuya boni ya minutes esengeli na kiti ya londende mpo ya kosipa engumba mobimba ?\n'}]",140
"Poppy ameki koresoudre puzzle moko ya biteni 1 000. Atiyi moko ya minei ya biteni na plateau, na nsima mama na ye atiyi moko ya misato ya biteni ya kotikala. Motuya boni ya biteni ya puzzle etikali mpo na kotiya ?",500,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nPoppy ameki koresoudre puzzle moko ya biteni 1 000. Atiyi moko ya minei ya biteni na plateau, na nsima mama na ye atiyi moko ya misato ya biteni ya kotikala. Motuya boni ya biteni ya puzzle etikali mpo na kotiya ?\n'}]",993
"Cody aliaka biscuit mbala misato koleka Amir. Soki Amir alei 5 biscuits, motuya ya biscuit boni bakolia bango nyoso mibale ?",20,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCody aliaka biscuit mbala misato koleka Amir. Soki Amir alei 5 biscuits, motuya ya biscuit boni bakolia bango nyoso mibale ?\n'}]",13
Jean azali na egbokoso 3. Egbokoso moko na moko ezali na molai ya 5 x 6 x 4 pouce. Ba parois ezali na monene ya pouce 1. Volume boni ya kati nyoso ya egbokoso 3 ?,72,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean azali na egbokoso 3. Egbokoso moko na moko ezali na molai ya 5 x 6 x 4 pouce. Ba parois ezali na monene ya pouce 1. Volume boni ya kati nyoso ya egbokoso 3 ?\n'}]",216
"Mpokwa nyoso, Frankie atalaka télévision na nsima ya kosala ba devoir na ye. Lundi na mardi eleki, atali na mpokwa nyoso episode moko ya emission alingaka mpo na ngonga moko. Mercredi atali ba épisode mosusu ya emission ya 30 minute. Jeudi asilisi ba devoir na ye liboso mpe atali episode moko ya ngonga moko na mpe emission ya 30 minutes. Vendredi alali noki te mpo na samedi, na yango atali episode mibale ya ngonga moko na moko. Soki atali na nyoso ngonga 7 na television, motuya boni ya 30 minutes atalaki mercredi ?",3,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMpokwa nyoso, Frankie atalaka télévision na nsima ya kosala ba devoir na ye. Lundi na mardi eleki, atali na mpokwa nyoso episode moko ya emission alingaka mpo na ngonga moko. Mercredi atali ba épisode mosusu ya emission ya 30 minute. Jeudi asilisi ba devoir na ye liboso mpe atali episode moko ya ngonga moko na mpe emission ya 30 minutes. Vendredi alali noki te mpo na samedi, na yango atali episode mibale ya ngonga moko na moko. Soki atali na nyoso ngonga 7 na television, motuya boni ya 30 minutes atalaki mercredi ?\n'}]",30
"Henri alambi cookies mpo na concours ya mboka ya patisserie. Alingi kosala mbala mibale koleka oyo ya mbula eleki. Na nsuka ya kosala mapa, amoni ete asali 15 cookies koleka na oyo alengelaki. Akweyisi 5 biscuits na ntango ya kokomisa yango malili mpe atikali na nyoso 110 biscuits. Motuya boni ya biscuits Henri alambaki na mbula eleki ?",50,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nHenri alambi cookies mpo na concours ya mboka ya patisserie. Alingi kosala mbala mibale koleka oyo ya mbula eleki. Na nsuka ya kosala mapa, amoni ete asali 15 cookies koleka na oyo alengelaki. Akweyisi 5 biscuits na ntango ya kokomisa yango malili mpe atikali na nyoso 110 biscuits. Motuya boni ya biscuits Henri alambaki na mbula eleki ?\n'}]",100
"Station ya service moko etekaka essence na 3,00 $ na gallon. Kompani ya application epesi 0,20 $ ya kozongisa na gallon soki otondisi na station wana. Soki motu moko asombi 10 gallon ya essence, ntalo ya kosomba ekozala nini, na nsima ya kozongisa ?",28,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nStation ya service moko etekaka essence na 3,00 $ na gallon. Kompani ya application epesi 0,20 $ ya kozongisa na gallon soki otondisi na station wana. Soki motu moko asombi 10 gallon ya essence, ntalo ya kosomba ekozala nini, na nsima ya kozongisa ?\n'}]",28
"Marcell na Béatrice bandogbani mpo na koyeba kati na bango mibale aliaka mingi ba roulés aux fruits. Etamboli na ndenge bazalaki wana. Na mawa, mpo na libunga, Béatrice akutani na ba roulés mibale ya minene mpe 24 roulés ya milai, kasi Marcell azwi roulés misato ya minene mpe 14 roulés ya milai. Soki bango nyoso balei ba roulés na bango, motuya boni baleyi ba roulés na kati kati ?",45,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarcell na Béatrice bandogbani mpo na koyeba kati na bango mibale aliaka mingi ba roulés aux fruits. Etamboli na ndenge bazalaki wana. Na mawa, mpo na libunga, Béatrice akutani na ba roulés mibale ya minene mpe 24 roulés ya milai, kasi Marcell azwi roulés misato ya minene mpe 14 roulés ya milai. Soki bango nyoso balei ba roulés na bango, motuya boni baleyi ba roulés na kati kati ?\n'}]",52
"Lidusu ebimi na masuwa ya Julia na ntango azalaki na lac. Masuwa ebandi kozwa litre mibale ya mai na makolo zomi ya kokima epai ya libongo. Esengeli na ye seconde zomi na motoba mpo ya kotambola ntuku mibale ya makolo. Libongo ezali na 64 seconde, motuya boni masuwa ezwaki mai na ntango Julia akomaki na libongo ?",16,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLidusu ebimi na masuwa ya Julia na ntango azalaki na lac. Masuwa ebandi kozwa litre mibale ya mai na makolo zomi ya kokima epai ya libongo. Esengeli na ye seconde zomi na motoba mpo ya kotambola ntuku mibale ya makolo. Libongo ezali na 64 seconde, motuya boni masuwa ezwaki mai na ntango Julia akomaki na libongo ?\n'}]",192
"Ndako ya kelasi ezali na etanda ya mpembe bakaboli kati ya balakisi 4 bakosalela motu na motu na tour na ye. Motu moko na moko kati na bango akopesa mateya 2 na mokolo mpe kosalela etanda ya mpembe na ntango nyoso. Soki etanda basukoli mbala 3 na liteya, mbala boni bakosukola yango na mokolo mobimba ?",24,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNdako ya kelasi ezali na etanda ya mpembe bakaboli kati ya balakisi 4 bakosalela motu na motu na tour na ye. Motu moko na moko kati na bango akopesa mateya 2 na mokolo mpe kosalela etanda ya mpembe na ntango nyoso. Soki etanda basukoli mbala 3 na liteya, mbala boni bakosukola yango na mokolo mobimba ?\n'}]",24
"Mikolo nyoso, Ryan alonaka ba fulele 2 na jardin na ye. Koyeba ete fulele 5 ebimi te, motuya boni ya fulele ekozala na suka ya mikolo 15 ?",25,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMikolo nyoso, Ryan alonaka ba fulele 2 na jardin na ye. Koyeba ete fulele 5 ebimi te, motuya boni ya fulele ekozala na suka ya mikolo 15 ?\n'}]",10
"Téléphone ya Jamal ezali ko stocker mbala 6 ba photo koleka oyo ya Brittany. Telephone ya Brittany ekoki ko stocker na maximum mbala 50 koleka ba ndeke na ba photo esalemi epai ya Jamal, epai wapi tokomona mabata na zoo. Soki telephone ya Jamal ezali na bonene ya 1 800 photo, motuya boni ya mabata tokoki komona na photo oyo azwi ?",6,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTéléphone ya Jamal ezali ko stocker mbala 6 ba photo koleka oyo ya Brittany. Telephone ya Brittany ekoki ko stocker na maximum mbala 50 koleka ba ndeke na ba photo esalemi epai ya Jamal, epai wapi tokomona mabata na zoo. Soki telephone ya Jamal ezali na bonene ya 1 800 photo, motuya boni ya mabata tokoki komona na photo oyo azwi ?\n'}]",300
"Na nsima ya mwa ntango asombaki mabaya ya kotonga, Sasha amoni ete ntalo emati na 50 % na kati ya sanza ya nsuka. Azwi mokano ya koteka mabaya oyo etikali. Etikali mabaya zomi ya 2 x 4 x 10, ebimiseli ye ntalo ya 10 $ na moko. Azali lisusu na mabaya mitano ya 4 x 4 x 10 oyo asombi na 16 $ na libaya. Soki akoki koteka yango, matabisi na ye ekozala boni ?",90,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNa nsima ya mwa ntango asombaki mabaya ya kotonga, Sasha amoni ete ntalo emati na 50 % na kati ya sanza ya nsuka. Azwi mokano ya koteka mabaya oyo etikali. Etikali mabaya zomi ya 2 x 4 x 10, ebimiseli ye ntalo ya 10 $ na moko. Azali lisusu na mabaya mitano ya 4 x 4 x 10 oyo asombi na 16 $ na libaya. Soki akoki koteka yango, matabisi na ye ekozala boni ?\n'}]",270
"Katy azali kolamba café na kosalela ba lutu ya cafe ya sukali mpe tasse ya mai na ratio ya 7: 13. Sala calcul ya motango ya lutu ya cafe oyo atiyi, na koyeba ete asaleli na nyoso 120 lutu ya cafe ya sukali mpe tasse ya mai.",42,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKaty azali kolamba café na kosalela ba lutu ya cafe ya sukali mpe tasse ya mai na ratio ya 7: 13. Sala calcul ya motango ya lutu ya cafe oyo atiyi, na koyeba ete asaleli na nyoso 120 lutu ya cafe ya sukali mpe tasse ya mai.\n'}]",910
"Mpo na bana 3 na ye, Jean asombi makolo 2 ya sapato na ntalo ya 60 $ na moko. Motuya boni afuti ?",360,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMpo na bana 3 na ye, Jean asombi makolo 2 ya sapato na ntalo ya 60 $ na moko. Motuya boni afuti ?\n'}]",180
"Mosali ya douane na libongo ya monene ya dédouanement ya SeaSide ezali na conteneur 2 ya mituka mpo ekota, ezali na mituka mitano na kati mpo na moko na moko. Mokolo elandi, ba conteneur ya sika ekomi mpe motango 30 ya mituka na nyoso ezali na libongo. Sala calcul ya motuya ya conteneur mpo ekota mokolo ya mibale, na kokanisa ete ba conteneur nyoso ezali na mituka 5. ",4,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMosali ya douane na libongo ya monene ya dédouanement ya SeaSide ezali na conteneur 2 ya mituka mpo ekota, ezali na mituka mitano na kati mpo na moko na moko. Mokolo elandi, ba conteneur ya sika ekomi mpe motango 30 ya mituka na nyoso ezali na libongo. Sala calcul ya motuya ya conteneur mpo ekota mokolo ya mibale, na kokanisa ete ba conteneur nyoso ezali na mituka 5. \n'}]",14
"Lifuta mobimba ya Adrien ezalaki 30 % likolo na oyo ya Lylah. Mbula minei nsima, lifuta oyo emataki na 40% likolo makasi na oyo abandaki kozwa na ebandela. Soki lifuta ya Adrien na ya Lylah emati ngonga moko, mpe Adrien azwaki 40 000 $ ezalaki mbula minei, sala calcul ya mbongo nyoso ya lifuta na bango mibale na nsima ya mbula minei.",95200,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLifuta mobimba ya Adrien ezalaki 30 % likolo na oyo ya Lylah. Mbula minei nsima, lifuta oyo emataki na 40% likolo makasi na oyo abandaki kozwa na ebandela. Soki lifuta ya Adrien na ya Lylah emati ngonga moko, mpe Adrien azwaki 40 000 $ ezalaki mbula minei, sala calcul ya mbongo nyoso ya lifuta na bango mibale na nsima ya mbula minei.\n'}]",140000
Miguel asaleli ba carton mibale ya papier na poso mpo na koyema. Motuya ya papier boni asalelaka na sanza ?,240,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMiguel asaleli ba carton mibale ya papier na poso mpo na koyema. Motuya ya papier boni asalelaka na sanza ?\n'}]",60
"Batunaki na Morissette na Kael mpo na komema mbuma. Morissette amemi 5 pommes mpe malala 8, kasi Kael amemi mbala mibale koleka ba pommes mpe ndambo ya malala na nse ya Morissette. Motuya boni ya mbuma bamemi bango nyoso ?",27,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBatunaki na Morissette na Kael mpo na komema mbuma. Morissette amemi 5 pommes mpe malala 8, kasi Kael amemi mbala mibale koleka ba pommes mpe ndambo ya malala na nse ya Morissette. Motuya boni ya mbuma bamemi bango nyoso ?\n'}]",30
"Sadie alali ngonga 8 na lundi. Alali ngonga 2 na nse na mikolo mibale elandi, mpo na masengisi misusu. Koyeba ete mikolo ya poso etikali alali ngonga 1 koleka mikolo mibale oyo, motuya boni ya ngonga alali na nyoso na poso mobimba ?",48,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSadie alali ngonga 8 na lundi. Alali ngonga 2 na nse na mikolo mibale elandi, mpo na masengisi misusu. Koyeba ete mikolo ya poso etikali alali ngonga 1 koleka mikolo mibale oyo, motuya boni ya ngonga alali na nyoso na poso mobimba ?\n'}]",37
Rosie apotaka na mbangu ya 10 miles na ngonga kobanda ngonga 3. Na nsima apoti 5 miles na ngonga. Motuya boni ya miles asali na ngonga 7 ?,50,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRosie apotaka na mbangu ya 10 miles na ngonga kobanda ngonga 3. Na nsima apoti 5 miles na ngonga. Motuya boni ya miles asali na ngonga 7 ?\n'}]",15
"Jennie akopesa lisalisi na bureau ya mama na ye. Azali na pile ya mikanda 60 ya kotiya timbre mpe mosusu na mikanda ezali na timbre. Atiyi tampon na moko ya misato ya mikanda ya kotiya timbre. Soki sikoyo mikanda 30 na pile ya mikanda ya timbre, motuya boni ezalaki na pile na ntango Jennie abandi mosala ?",10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJennie akopesa lisalisi na bureau ya mama na ye. Azali na pile ya mikanda 60 ya kotiya timbre mpe mosusu na mikanda ezali na timbre. Atiyi tampon na moko ya misato ya mikanda ya kotiya timbre. Soki sikoyo mikanda 30 na pile ya mikanda ya timbre, motuya boni ezalaki na pile na ntango Jennie abandi mosala ?\n'}]",90
"Julia amilengeli mpo na limpati abongisi epai na ye, na ntango alingaki kopesa ragout. Amoni ete azalaki lisusu na lutu ya plastique te mpe asombi Paquet ya sika ya ba lutu. Na nsima, mobali na ye asombi lisusu paquet ya balutu 5 ya sika mpe apesi yango na Julia. Na ntango ya kolamba, Julia asaleli lutu misato mpo ya koyoka elengi ya ragout. Na nsima, na ntango akeyi kotiya na mesa, azalaki na nyoso lutu 12. Ba lutu boni ezalaki na paquet oyo Julia asombi ?",10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJulia amilengeli mpo na limpati abongisi epai na ye, na ntango alingaki kopesa ragout. Amoni ete azalaki lisusu na lutu ya plastique te mpe asombi Paquet ya sika ya ba lutu. Na nsima, mobali na ye asombi lisusu paquet ya balutu 5 ya sika mpe apesi yango na Julia. Na ntango ya kolamba, Julia asaleli lutu misato mpo ya koyoka elengi ya ragout. Na nsima, na ntango akeyi kotiya na mesa, azalaki na nyoso lutu 12. Ba lutu boni ezalaki na paquet oyo Julia asombi ?\n'}]",20
Dylan azalaki na mposa ya saucisse ya nsoso mpe saucisse ya mbisi mpo na kosala ba mapa ya mike ya saucisse na ntango ya fete. Asombi 38 saucisse ya nsoso mpe 6 saucisse ya mbisi koleka oyo azalaki na yango ya nsoso. Motuya boni ya saucisse ya Dylan asombi na nyoso ?,82,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nDylan azalaki na mposa ya saucisse ya nsoso mpe saucisse ya mbisi mpo na kosala ba mapa ya mike ya saucisse na ntango ya fete. Asombi 38 saucisse ya nsoso mpe 6 saucisse ya mbisi koleka oyo azalaki na yango ya nsoso. Motuya boni ya saucisse ya Dylan asombi na nyoso ?\n'}]",44
"Na nsima ya kotinda ye na eteyelo ya sika, Amy azwi baninga 20 koleka Lily. Soki Lily azwi baninga 50, motuya boni ya baninga ya Lily na Amy bazwi bango nyoso ?",120,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNa nsima ya kotinda ye na eteyelo ya sika, Amy azwi baninga 20 koleka Lily. Soki Lily azwi baninga 50, motuya boni ya baninga ya Lily na Amy bazwi bango nyoso ?\n'}]",120
"Mama ya Well atekaka ba pastèque, pili pili mpe malala na magasin ya quartier. Pastèque moko na ntalo ya mbala misato koleka ntalo ya pili pili moko mpe lilala moko mbala mitano na nse ya pastèque. Dillon batindi ye na magasin mpo asomba pastèque 4, pili pili 20 mpe malala 10. Motuya boni ya mbongo akobebisa soki ntalo ya pili pili eza na 15 $ ?",880,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMama ya Well atekaka ba pastèque, pili pili mpe malala na magasin ya quartier. Pastèque moko na ntalo ya mbala misato koleka ntalo ya pili pili moko mpe lilala moko mbala mitano na nse ya pastèque. Dillon batindi ye na magasin mpo asomba pastèque 4, pili pili 20 mpe malala 10. Motuya boni ya mbongo akobebisa soki ntalo ya pili pili eza na 15 $ ?\n'}]","Pastèque: 45 $ (15 $ * 3)
Pili pili: 15 $
Lilala: 9 $ (45 $ / 5)

Total:
Pastèque 4 * 45 $ = 180 $
Pili pili 20 * 15 $ = 300 $
Lilala 10 * 9 $ = 90 $

Total = 180 $ + 300 $ + 90 $ = 570 $"
Hôpital moko eyambaka bato 500 na mokolo. Ba minganga bazali kofutisa 150 $ na ngonga na hôpital mpe oyo 200 $ na ngonga na babeli. Motuya boni ya matabisi hôpital akotisi mpo na ba consultation oyo ?,10000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nHôpital moko eyambaka bato 500 na mokolo. Ba minganga bazali kofutisa 150 $ na ngonga na hôpital mpe oyo 200 $ na ngonga na babeli. Motuya boni ya matabisi hôpital akotisi mpo na ba consultation oyo ?\n'}]",650
"Nissa apesi mosala na 60 saisonnier mpo na kosakana lutin na mboka ya Père Noël na magasin monene na ye. Moko ya misato ya ba lutin balongoi mosala nsima ete bana basanzeli bango likolo, nsima ba lutin 10 balongoi mosala mpo ete bana batuti bango makolo na mopende. Ba lutin boni batikali ?",30,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNissa apesi mosala na 60 saisonnier mpo na kosakana lutin na mboka ya Père Noël na magasin monene na ye. Moko ya misato ya ba lutin balongoi mosala nsima ete bana basanzeli bango likolo, nsima ba lutin 10 balongoi mosala mpo ete bana batuti bango makolo na mopende. Ba lutin boni batikali ?\n'}]",40
"Na sanza ya mai, kobebisa mbongo ya Joseph emati na 500 $. Ekiti na 60 $ na juin. Motuya ya mbongo boni ebebi na kati ya ba sanza mibale ?",940,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNa sanza ya mai, kobebisa mbongo ya Joseph emati na 500 $. Ekiti na 60 $ na juin. Motuya ya mbongo boni ebebi na kati ya ba sanza mibale ?\n'}]",440
